,explanation,type,word
227,tending or serving to sudden outburst; sudden and loud,a. ,explosive
228,sell or transfer abroad,v. ,export
229,set forth; set out to public view,v. Syn. exhibit; show; display,expose
230,exhibition; part of a play that provides the background information;  opening section of a fugue,n. ,exposition
231,"risk, particularly of being exposed to disease; unmasking; act of laying something open",n. Syn. disclosure,exposure
232,demonstrative; indicative,a. Syn. eloquent; demonstrative; indicative,expressive
233,particularly; specifically; in an explicit manner,ad. Syn. particularly; specifically,expressly
234,excellent; flawless; acutely perceptive or discriminating,a. Syn. excellent; flawless,exquisite
235,open or straighten something out; unbend; prolong,v. Syn. stretch; prolong,extend
236,supplement; act of extending or the condition of being extended,n. Syn. supplement; expansion,extension
237,widespread; far-reaching; wide,a. Syn. widespread; wide,extensive
238,extensive space or area; distance or area over which something extends; degree to which a thing extends,n. Syn. magnitude; scope,extent
239,outside; external or outward appearance,n. Syn. outside; appearance,exterior
240,exterior; outer; suitable for application to the outside,a. Syn. exterior; outer,external
241,no longer existing or living; vanished; dead,a. Syn. nonexistent; vanished; dead,extinct
242,death of all its remaining members,n. ,extinction
243,"quench; put out, as a light or fire; cause to die out; put an end to; destroy",v. ,extinguish
244,something additional of the same kind,a. ,extra
245,"draw or pull out, usually with some force or effort; remove; get despite difficulties or obstacles",v. Syn. derive; remove; squeeze,extract
246,exceptional; remarkable; beyond what is ordinary or usual,a. Syn. exceptional; remarkable; outstanding,extraordinary
247,wandering beyond one's bounds; exceeding due bounds; wild; excessive; unrestrained,a. ,extravagant
248,outermost; utmost; farthest; most remote; at the widest limit,a. ,extreme
249,small hole or loop; good discernment; organ of vision or of light sensitivity,n. ,eye
0,cloth; stuff; artifact made by weaving or synthetic fibers; structure; framework,n. Syn. cloth; stuff,fabric
1,build; put together out of components or parts,v. Syn. build,fabricate
2,confront; encounter; be opposite,v. Syn. confront; encounter,face
3,help bring about; make less difficult,v. Syn. promote; expedite,facilitate
4,"service, space, and equipment provided for a particular purpose",n. Syn. equipment; device,facility
5,a party of persons having a common end in view,n. Syn. party; clique; dissension,faction
6,anything that contributes causally to a result; element; variable,n. Syn. variable; element; component,factor
7,disappear; die out; lose color; lose freshness,v. Syn. disappear; die out,fade
8,lacking strength or vigor ; weak,a. Syn. dim; feeble; weak,faint
9,in fair manner; clearly; openly; plainly; fully; distinctly; frankly,ad. Syn. impartially; relatively; rather,fairly
10,enchantment; illusion; imaginary supernatural being or spirit,n. Syn. enchantment; illusion,fairy
11,loyalty or allegiance to a cause or a person; complete confidence,n. Syn. belief,faith
12,believer; follower,n. Syn. believer; follower,faithful
13,imitation; counterfeit; having a false or misleading appearance,n. Syn. imitation; counterfeit; false,fake
14,"drop; sink; lose an upright position suddenly; decrease in size, extent, or range",v. ,fall
15,favorable public reputation; great renown,n. Syn. renown; celebrity,fame
16,well known or easily recognized,a. ,familiar
17,"state of being familiar; intimate and frequent converse, or association; freedom from ceremony and constraint; intimacy",n. ,familiarity
18,shortage of food; starvation,n. Syn. starvation,famine
19,person who is zealously enthusiastic for some cause; showing evidence of possession by a god or demon,n. ,fanatic
20,capricious notion; something many people believe that is false,n. Syn. notion; imagine; whim,fancy
21,"excellent; extraordinary;  strange in form, conception, or appearance",a. Syn. excellent; extraordinary,fantastic
22,food and drink; diet; transportation charge; a paying passenger,n. ,fare
23,acknowledgment at parting;  goodbye; act of departing or taking leave,n. ,farewell
24,cause to be interested or curious; captivate,v. Syn. intrigue; enthrall; captivate,fascinate
25,capacity to attract intense interest,n. ,fascination
26,"style, shape, appearance, or mode of structure; pattern, model",n. Syn. vogue; style,fashion
27,conforming to the current style; being or in accordance with current fashion,a. Syn. stylish,fashionable
28,attach; affix,v. Syn. attach; affix,fasten
29,causing death,a. ,fatal
30,measure the depth; come to understand,v. ,fathom
31,physical or mental weariness; exhaustion,n. Syn. weariness; exhaustion,fatigue
32,crack; a crack in the earth; defect; flaw; a wrong action,n. Syn. crack,fault
33,approving or pleasing; granting what has been desired or requested,a. Syn. propitious; beneficial; approving,favorable
34,capable of being accomplished or brought about,a. Syn. practical; possible; suitable,feasible
35,festival or holiday; festive or joyous meal; something highly agreeable; entertainment,n. ,feast
36,achievement; accomplishment,n. Syn. achievement; accomplishment,feat
37,prominent aspect of something,n. ,feature
38,of or relating to central government; national,a. ,federal
39,uniting in a league; confederation; league,n. ,federation
40,give a tip beyond the agreed-on compensation,v. ,fee
41,"lacking vigor, force, or effectiveness; faint; frail",a. Syn. weak; frail,feeble
42,give food to; supply with nourishment,v. Syn. nourish; graze,feed
43,response to an inquiry or experiment,v. ,feedback
44,capable of destroying; lethal,a. Syn. cruel; deadly,fell
45,state or relation of being or associate; companionship of persons on equal and friendly terms; state of being together,n. ,fellowship
46,for or composed of women or girls,n. ,female
47,fierce; savage; wild; indicating cruelty,a. ,ferocious
48,shuttle; transport by boat or aircraft,n. Syn. shuttle; barge,ferry
49,rich; fruitful; inventive; creative; intellectually productive,a. Syn. rich; fruitful,fertile
50,any substance used to make soil more fertile,n. ,fertilizer
51,extremely hot; sincerely or intensely felt,a. ,fervent
52,a day or period of time for feasting and celebration,n. Syn. holiday,festival
53,take away or remove; reduce; go or come after and bring or take back,v. ,fetch
54,bitter quarrel between two parties,n. Syn. enmity; vendetta,feud
55,"slender, elongated, threadlike object or structure; material to make paper or cloth",n. ,fiber
56,story; imaginative creation; literary work whose content is produced by imagination,n. Syn. story; legend,fiction
57,"imaginary; invented, as opposed to real",a. Syn. imaginary,fictional
58,ferocious; savage; extremely severe or violent; terrible,a. Syn. ferocious; savage,fierce
59,"small fruit tree with large leaves, known from the remotest antiquity",n. ,fig
60,"not literal, but metaphorical; using figure of speech",a. ,figurative
61,model of a bodily form; impression produced by a person; written or printed symbol representing a number,n. ,figure
62,line; proceed in line,v. ,file
63,strain; pass liquid or gas through device that blocks some matter by particular criterion,n. Syn. strain; purify,filter
64,foul matter; anything that soils or defiles; dirt; corruption; pollution,n. ,filth
65,nasty; dirty; polluted; foul; impure,a. ,filthy
66,forming or occurring at the end; terminating; ultimate; conclusive,a. Syn. last,final
67,management of money and credit and banking and investments; subsidizing; fund,n. Syn. fund,finance
68,monetary; pertaining or relating to money matters,a. Syn. monetary,financial
69,subsidy; transaction that provides funds for a business,n. Syn. subsidy; funding,financing
70,"having a limit; limited in quantity, degree, or capacity; bounded",a. ,finite
71,any of various evergreen trees of the genus Abies,n. ,fir
72,hard; solid; resolute; determined,a. Syn. hard; solid; determined,firm
73,business or practice of catching fish; fishing; a place for catching fish; the right to take fish at a certain place,n. ,fishery
74,hand with the fingers doubled into the palm; closed hand,n. ,fist
75,be the right size or shape; conform to some shape or size,v. ,fit
76,health; vigor; state or condition of being fit; suitability or appropriateness,n. Syn. health; vigor,fitness
77,small accessory to a larger system; small detachable part for a machine or apparatus; act of trying on clothes,n. ,fitting
78,firmly in position; stationary,a. Syn. stationary; settled; established,fixed
79,commonplace object; object firmly fixed in place ,n. Syn. commonplace object,fixture
80,"become less intense; sink, or settle from pressure",v. Syn. decline; weaken; fade,flag
